nome_mun,nome_meso,renocup,cpr,emp,p_agro,p_com,p_serv,p_transf,p_formal,popul,pib,porte
Icaraí de Minas,Norte de Minas,448.72,30.49,0.38,49.26,6.26,30.18,2.75,29.18,10652,40316.361000000004,pequenoI
Igarapé,Metropolitana de Belo Horizonte,1019.52,17.26,1.99,6.12,15.97,40.79,19.31,65.37,34671,512939.529,pequenoII
Igaratinga,Oeste de Minas,914.17,15.85,1.52,13.06,12.76,32.51,30.22,53.91,9216,87147.478,pequenoI
Iguatama,Oeste de Minas,954.55,18.84,1.16,24.38,9.41,37.5,16.36,65.44,7989,214267.13100000002,pequenoI
Ijaci,Campo das Vertentes,891.74,15.24,0.47,17.37,7.68,33.38,9.04,68.98,5859,300368.206,pequenoI
Ilicínea,Sul/Sudoeste de Minas,784.59,28.18,1.35,45.01,6.27,22.27,18.88,59.36,11437,101089.927,pequenoI
Imbé de Minas,Vale do Rio Doce,418.25,26.75,0.75,65.65,6.26,19.98,0.87,26.94,6424,32934.739,pequenoI
Inconfidentes,Sul/Sudoeste de Minas,867.94,28.16,2.43,30.23,9.61,27.01,23.48,47.9,6905,54941.015,pequenoI
Indaiabira,Norte de Minas,396.78,20.36,0.31,54.18,6.82,23.91,4.42,26.54,7320,31895.289,pequenoI
Indianópolis,Triângulo Mineiro/Alto Paranaíba,917.02,22.5,0.83,56.57,6.36,26.58,6.1,57.41,6190,313496.903,pequenoI
Ingaí,Campo das Vertentes,1045.64,14.53,3.6,48.54,6.2,26.19,11.82,66.78,2612,27822.603,pequenoI
Inhapim,Vale do Rio Doce,696.52,31.58,1.46,46.41,13.16,29.94,2.63,37.26,24155,140499.09900000002,pequenoII
Inhaúma,Metropolitana de Belo Horizonte,777.56,14.82,0.44,17.08,8.56,46.84,7.71,57.6,5755,58407.094000000005,pequenoI
Inimutaba,Central Mineira,579.28,20.6,0.0,30.04,8.53,31.52,14.19,50.26,6704,53905.744000000006,pequenoI
Ipaba,Vale do Rio Doce,745.86,17.05,0.81,12.43,11.01,40.3,16.47,59.7,16263,63699.962,pequenoI
Ipanema,Vale do Rio Doce,845.2,26.79,2.37,25.93,15.31,37.47,8.22,42.66,18079,116595.74,pequenoI
Ipatinga,Vale do Rio Doce,1395.93,16.61,2.57,0.75,18.41,41.89,21.42,73.45,238052,7520603.844,medioII
Ipiaçu,Triângulo Mineiro/Alto Paranaíba,1023.53,17.55,1.39,32.75,10.13,39.38,9.4,65.28,4090,44768.897000000004,pequenoI
Ipuiúna,Sul/Sudoeste de Minas,1171.98,22.8,3.0,43.44,10.67,24.99,14.01,34.48,9465,85473.837,pequenoI
Iraí de Minas,Triângulo Mineiro/Alto Paranaíba,1078.83,26.34,1.19,46.47,9.5,33.24,3.1,52.22,6431,97495.42800000001,pequenoI
Itabira,Metropolitana de Belo Horizonte,1113.96,14.15,2.37,5.88,14.18,43.64,6.42,72.87,109507,4137155.461,medioII
Itabirinha,Vale do Rio Doce,716.05,28.25,1.97,29.32,12.67,34.35,9.4,31.3,10650,53737.553,pequenoI
Itabirito,Metropolitana de Belo Horizonte,1202.81,15.28,2.68,3.32,15.84,37.57,12.46,78.99,45260,1879338.804,pequenoII
Itacambira,Norte de Minas,438.83,15.09,1.5,52.74,4.99,27.07,2.65,41.89,4960,29415.116,pequenoI
Itacarambi,Norte de Minas,687.7,16.12,0.88,32.14,9.93,37.58,6.8,49.33,17667,101680.70599999999,pequenoI
Itaguara,Metropolitana de Belo Horizonte,866.94,24.39,1.49,18.99,11.48,42.46,15.59,53.18,12289,114343.896,pequenoI
Itaipé,Vale do Mucuri,400.72,18.32,0.44,56.52,10.44,21.72,3.27,26.8,11764,49688.324,pequenoI
Itajubá,Sul/Sudoeste de Minas,1448.62,19.72,3.08,3.54,18.49,43.85,18.01,73.08,89914,1993811.24,medioI
Itamarandiba,Jequitinhonha,599.91,17.52,1.47,41.26,11.84,32.54,4.29,35.17,31946,225982.611,pequenoII
Itamarati de Minas,Zona da Mata,779.46,25.96,1.47,23.28,9.3,41.32,13.76,47.89,4072,67828.80900000001,pequenoI
Itambacuri,Vale do Rio Doce,601.15,17.5,2.33,31.67,10.25,40.84,4.05,36.29,22559,160173.985,pequenoII
Itambé do Mato Dentro,Metropolitana de Belo Horizonte,535.76,31.64,1.31,42.78,6.93,34.56,2.21,25.59,2273,12031.899,pequenoI
Itamogi,Sul/Sudoeste de Minas,724.62,27.57,1.44,54.06,8.76,22.1,8.66,41.21,10288,96598.359,pequenoI
Itamonte,Sul/Sudoeste de Minas,890.05,21.81,2.3,20.38,9.45,37.93,16.58,53.11,13847,266373.505,pequenoI
Itanhandu,Sul/Sudoeste de Minas,1050.13,18.28,1.33,15.88,10.36,33.44,27.88,70.44,14102,298492.04600000003,pequenoI
Itanhomi,Vale do Rio Doce,799.37,24.7,3.73,31.72,13.04,35.85,4.56,31.3,11788,63814.585,pequenoI
Itaobim,Jequitinhonha,581.11,26.83,0.18,23.94,19.39,36.43,5.06,37.97,20869,150304.26,pequenoII
Itapagipe,Triângulo Mineiro/Alto Paranaíba,1121.69,27.48,0.63,31.01,12.24,30.7,13.73,55.33,13438,206591.547,pequenoI
Itapecerica,Oeste de Minas,910.0,25.48,0.62,19.17,12.4,33.46,17.05,62.11,21279,202848.108,pequenoII
Itapeva,Sul/Sudoeste de Minas,969.36,27.19,1.35,21.18,10.49,34.57,18.44,57.01,8591,123770.367,pequenoI
Itatiaiuçu,Metropolitana de Belo Horizonte,819.26,16.23,0.99,20.91,10.76,33.97,9.59,63.65,9928,975684.085,pequenoI
Itaú de Minas,Sul/Sudoeste de Minas,1546.64,18.29,2.7,6.13,14.54,41.24,22.73,67.44,14911,517685.006,pequenoI
Itaúna,Oeste de Minas,1316.5,17.95,2.48,3.79,16.31,41.06,22.57,74.75,84936,1657410.705,medioI
Itaverava,Metropolitana de Belo Horizonte,470.03,21.97,0.68,46.27,6.03,25.81,4.59,31.28,5799,23700.104,pequenoI
Itinga,Jequitinhonha,441.58,20.65,0.75,46.34,10.65,26.23,4.04,33.26,14377,63441.842000000004,pequenoI
Itueta,Vale do Rio Doce,707.46,24.07,1.59,52.96,5.99,26.07,3.76,29.86,5817,39452.623999999996,pequenoI
Ituiutaba,Triângulo Mineiro/Alto Paranaíba,1295.84,19.67,3.63,8.98,16.06,43.9,15.93,64.0,96689,1689146.54,medioI
Itumirim,Campo das Vertentes,913.69,20.14,0.1,21.91,9.29,34.64,12.45,62.92,6129,31956.478,pequenoI
Iturama,Triângulo Mineiro/Alto Paranaíba,1227.46,19.07,2.08,12.07,16.22,37.44,20.9,64.45,34074,1529028.0480000002,pequenoII
Itutinga,Campo das Vertentes,862.29,27.68,0.23,37.39,5.52,35.54,4.13,49.26,3907,52377.862,pequenoI
Jaboticatubas,Metropolitana de Belo Horizonte,802.75,23.28,1.26,18.39,12.67,45.32,6.76,47.29,17004,98446.763,pequenoI
Jacinto,Jequitinhonha,522.83,21.93,0.91,43.97,11.32,32.77,2.53,25.42,12035,55575.89599999999,pequenoI
Jacuí,Sul/Sudoeste de Minas,780.53,28.44,1.93,50.67,7.62,23.8,11.6,50.1,7455,57548.558,pequenoI
Jacutinga,Sul/Sudoeste de Minas,953.86,25.37,2.67,15.19,13.44,25.64,33.66,59.64,22610,307463.223,pequenoII
Jaguaraçu,Vale do Rio Doce,770.26,16.97,0.6,13.12,7.9,40.54,13.65,65.81,2973,39642.472,pequenoI
Jaíba,Norte de Minas,705.84,23.78,0.57,45.0,10.48,26.4,6.75,37.19,33499,233405.595,pequenoII
Jampruca,Vale do Rio Doce,609.51,14.34,0.75,46.9,9.14,31.47,0.81,34.48,5017,33690.402,pequenoI
Janaúba,Norte de Minas,872.13,18.17,1.85,21.88,19.79,39.54,6.99,48.81,66381,490115.175,medioI
Januária,Norte de Minas,645.1,19.68,0.9,29.85,12.48,40.97,4.09,39.15,65174,339717.89700000006,medioI
Japaraíba,Central Mineira,894.57,15.7,0.64,24.21,10.12,23.3,35.94,57.57,3883,34617.445,pequenoI
Japonvar,Norte de Minas,340.69,13.24,0.42,52.41,11.92,19.98,2.23,27.44,8266,31017.494,pequenoI
Jeceaba,Metropolitana de Belo Horizonte,784.17,13.31,0.48,16.64,7.52,37.36,11.85,62.81,5389,128821.271,pequenoI
Jenipapo de Minas,Jequitinhonha,506.46,11.09,0.33,48.12,5.96,30.29,4.09,44.02,7096,26599.306,pequenoI
Jequeri,Zona da Mata,514.28,27.5,1.13,54.9,7.02,26.99,2.41,28.93,12804,71700.01299999999,pequenoI
Jequitaí,Norte de Minas,568.41,24.37,0.79,43.87,12.83,29.86,1.96,34.74,7912,41793.277,pequenoI
Jequitibá,Metropolitana de Belo Horizonte,576.16,21.57,0.09,41.91,3.6,32.0,4.13,36.7,5134,70356.036,pequenoI
Jequitinhonha,Jequitinhonha,563.01,22.9,0.69,36.66,9.64,35.94,4.45,33.03,23901,109208.013,pequenoII
Jesuânia,Sul/Sudoeste de Minas,775.87,23.75,0.0,48.22,8.6,30.19,4.1,45.66,4746,33063.892,pequenoI
Joaíma,Jequitinhonha,439.04,21.14,0.85,45.37,8.77,31.85,4.37,26.31,14882,65480.958,pequenoI
Joanésia,Vale do Rio Doce,526.63,10.09,0.9,39.11,8.36,32.65,4.89,36.49,5405,68817.39,pequenoI
João Monlevade,Metropolitana de Belo Horizonte,1251.82,17.21,2.54,2.2,18.81,45.84,12.67,72.03,73350,1697019.969,medioI
João Pinheiro,Noroeste de Minas,926.33,19.42,2.74,29.46,17.13,34.67,7.67,51.6,44883,617035.519,pequenoII
Joaquim Felício,Central Mineira,690.51,24.04,0.53,36.81,6.52,33.29,13.43,47.76,4269,28783.96,pequenoI
Jordânia,Jequitinhonha,658.14,23.74,3.39,40.79,13.92,32.49,3.71,25.69,10253,42849.065,pequenoI
José Gonçalves de Minas,Jequitinhonha,505.78,11.11,0.0,60.96,5.23,22.12,5.61,50.34,4547,17729.432,pequenoI
José Raydan,Vale do Rio Doce,476.61,18.41,0.54,54.08,3.92,25.68,10.14,26.03,4359,26349.002999999997,pequenoI
Josenópolis,Norte de Minas,334.33,12.26,1.49,61.72,2.13,27.61,0.88,36.26,4566,22824.535,pequenoI
Nova União,Metropolitana de Belo Horizonte,596.4,27.22,0.51,28.87,6.68,37.6,7.92,49.14,5489,40734.119,pequenoI
Juatuba,Metropolitana de Belo Horizonte,907.12,12.39,0.91,6.7,10.93,36.8,25.26,73.2,21994,806639.078,pequenoII
Juiz de Fora,Zona da Mata,1438.12,19.91,3.57,2.63,17.17,53.73,11.42,73.74,512779,9912515.129,grandeI
Juramento,Norte de Minas,461.91,16.63,0.59,44.97,9.24,36.21,1.89,38.3,4105,25311.576,pequenoI
Juruaia,Sul/Sudoeste de Minas,1671.92,29.67,3.45,43.03,10.3,16.35,20.95,47.29,9199,85096.18800000001,pequenoI
Juvenília,Norte de Minas,489.89,19.76,0.43,37.32,7.85,40.43,1.96,31.6,5695,25442.659,pequenoI
Ladainha,Vale do Mucuri,372.54,32.45,0.94,63.51,6.18,21.34,1.61,26.81,16942,71314.504,pequenoI
Lagamar,Noroeste de Minas,998.44,25.7,2.47,39.14,7.95,32.37,5.68,42.36,7563,80104.955,pequenoI
Lagoa da Prata,Central Mineira,1132.39,18.25,2.78,7.13,22.29,34.24,24.51,60.75,45628,786658.642,pequenoII
Lagoa dos Patos,Norte de Minas,496.01,17.37,0.5,43.86,7.69,36.42,4.23,35.99,4214,27436.745,pequenoI
Lagoa Dourada,Campo das Vertentes,945.51,27.03,1.17,43.99,14.73,24.45,7.88,41.66,12236,90792.931,pequenoI
Lagoa Formosa,Triângulo Mineiro/Alto Paranaíba,1093.43,26.43,2.85,43.84,14.49,28.44,6.8,49.51,17085,147430.55,pequenoI
Lagoa Grande,Noroeste de Minas,941.31,22.79,2.46,47.13,8.92,27.45,3.19,59.94,8278,93467.788,pequenoI
Lagoa Santa,Metropolitana de Belo Horizonte,1711.55,22.02,2.29,2.88,14.14,57.08,7.59,66.21,52326,982774.177,medioI
Lajinha,Zona da Mata,791.62,22.75,2.32,49.57,13.76,27.91,3.11,32.85,19549,168092.08800000002,pequenoI
Lambari,Sul/Sudoeste de Minas,871.88,31.96,3.25,26.41,14.43,35.35,12.52,48.14,19460,179753.67899999997,pequenoI
Lamim,Zona da Mata,524.91,22.57,1.21,42.85,8.99,32.6,1.72,28.29,3450,18555.894,pequenoI
Laranjal,Zona da Mata,833.46,24.7,0.84,24.14,9.54,42.95,12.34,48.95,6462,45132.16099999999,pequenoI
Lassance,Norte de Minas,606.79,18.76,0.75,49.13,7.89,29.46,3.99,46.78,6472,79405.136,pequenoI
Lavras,Campo das Vertentes,1348.48,16.51,2.86,6.03,16.9,48.95,14.39,75.1,91582,1494001.949,medioI
Leandro Ferreira,Central Mineira,938.22,17.41,1.26,27.53,7.49,31.98,23.96,58.2,3162,22840.564,pequenoI
Leme do Prado,Jequitinhonha,580.22,8.82,0.33,26.29,8.98,39.4,10.11,60.49,4771,23275.642000000003,pequenoI
Leopoldina,Zona da Mata,979.07,18.91,2.6,9.04,16.1,44.35,14.94,67.19,50929,577376.541,medioI
Liberdade,Sul/Sudoeste de Minas,964.94,25.11,0.28,31.56,11.31,34.42,5.57,46.28,5324,46487.224,pequenoI
Lima Duarte,Zona da Mata,766.97,21.01,2.56,26.1,13.44,37.41,7.24,52.37,15936,120955.31800000001,pequenoI
Limeira do Oeste,Triângulo Mineiro/Alto Paranaíba,1078.42,17.12,0.93,19.04,9.23,35.88,23.71,67.57,6792,137009.83,pequenoI
Lontra,Norte de Minas,457.73,15.31,0.45,44.28,9.44,35.7,2.63,26.16,8391,29545.235,pequenoI
Luisburgo,Zona da Mata,532.01,39.22,0.63,74.38,2.74,17.71,1.37,27.88,6234,47008.702000000005,pequenoI
Luislândia,Norte de Minas,416.0,27.55,1.4,46.11,8.46,34.2,3.57,27.68,6386,29249.047000000002,pequenoI
Luminárias,Campo das Vertentes,756.06,21.75,1.8,37.45,13.94,25.25,3.07,66.7,5392,40033.506,pequenoI
Luz,Central Mineira,1142.08,21.26,2.62,20.85,15.67,38.43,12.84,57.2,17356,243054.893,pequenoI
Machacalis,Vale do Mucuri,600.45,19.92,1.01,29.98,13.38,37.36,3.33,30.04,6957,35378.895,pequenoI
Machado,Sul/Sudoeste de Minas,1149.12,19.27,3.88,32.98,12.65,30.27,14.52,62.75,38494,596819.439,pequenoII
Madre de Deus de Minas,Campo das Vertentes,849.21,23.61,1.73,41.82,5.36,34.5,4.13,42.95,4862,49889.655999999995,pequenoI
Malacacheta,Vale do Mucuri,588.05,31.48,1.28,44.35,11.31,29.63,4.5,26.42,18620,93829.138,pequenoI
Mamonas,Norte de Minas,316.3,22.35,0.47,50.53,12.58,21.18,6.72,16.28,6300,22994.982999999997,pequenoI
Manga,Norte de Minas,739.26,21.86,0.79,36.97,10.33,38.3,3.56,32.09,19734,103264.44,pequenoI
Manhuaçu,Zona da Mata,956.13,26.52,1.53,27.51,17.35,35.0,8.56,52.42,79311,1109457.523,medioI
Manhumirim,Zona da Mata,892.87,20.44,2.05,31.35,14.91,36.79,8.04,49.93,21211,225450.14899999998,pequenoII
Mantena,Vale do Rio Doce,820.4,27.13,1.88,20.92,17.2,36.36,9.3,42.38,26872,206461.337,pequenoII
Maravilhas,Metropolitana de Belo Horizonte,724.7,13.41,3.37,29.92,15.0,31.3,10.24,47.82,7130,75415.076,pequenoI
Mar de Espanha,Zona da Mata,817.84,17.22,1.97,9.36,8.32,26.95,44.1,72.53,11684,100179.742,pequenoI
Maria da Fé,Sul/Sudoeste de Minas,742.67,19.76,0.9,27.32,10.8,34.04,18.71,46.23,14152,86632.604,pequenoI
Mariana,Metropolitana de Belo Horizonte,1098.64,16.68,1.42,6.92,13.47,42.76,4.93,71.34,53910,3690160.5560000003,medioI
Marilac,Vale do Rio Doce,710.11,18.87,1.86,36.82,12.21,33.83,1.95,33.24,4209,21621.347,pequenoI
Mário Campos,Metropolitana de Belo Horizonte,983.85,16.57,1.23,11.31,17.52,41.05,8.77,64.03,13160,74243.295,pequenoI
Maripá de Minas,Zona da Mata,797.56,19.16,0.27,12.27,6.05,32.45,25.36,73.73,2777,23369.504,pequenoI
Marliéria,Vale do Rio Doce,625.88,10.64,0.29,26.04,8.27,40.21,8.28,62.75,3975,21838.845,pequenoI
Marmelópolis,Sul/Sudoeste de Minas,652.47,40.86,0.43,44.48,13.15,27.21,6.53,37.86,2935,23366.65,pequenoI
Martinho Campos,Central Mineira,941.91,16.95,1.98,30.37,13.48,33.23,7.78,56.6,12519,156044.275,pequenoI
Martins Soares,Zona da Mata,568.74,41.63,0.63,73.11,6.58,15.69,2.18,26.01,7168,75197.735,pequenoI
Mata Verde,Jequitinhonha,538.07,18.31,1.31,48.39,12.12,30.97,2.22,25.76,7857,31338.653,pequenoI
Materlândia,Vale do Rio Doce,442.84,10.94,2.57,51.49,6.86,32.78,1.19,32.42,4568,24893.023999999998,pequenoI
Mateus Leme,Metropolitana de Belo Horizonte,995.39,20.82,1.03,9.59,13.94,36.87,16.58,69.03,27814,403967.305,pequenoII
Matias Barbosa,Zona da Mata,1014.24,19.56,2.39,6.31,14.66,53.08,7.43,70.31,13373,387353.341,pequenoI
Matias Cardoso,Norte de Minas,593.22,12.42,0.32,46.95,6.19,30.34,1.01,41.64,9970,67477.132,pequenoI
Matipó,Zona da Mata,739.96,16.15,0.65,51.38,10.94,27.04,2.46,36.79,17495,170545.11800000002,pequenoI
Mato Verde,Norte de Minas,464.81,27.27,2.79,39.04,13.72,31.47,6.43,25.21,12620,65688.065,pequenoI
Matozinhos,Metropolitana de Belo Horizonte,984.88,16.12,1.46,5.49,11.31,35.93,25.88,72.84,33851,673868.445,pequenoII
Matutina,Triângulo Mineiro/Alto Paranaíba,1349.67,28.69,0.34,33.77,8.53,33.9,5.07,41.12,3749,37954.223,pequenoI
Medeiros,Oeste de Minas,1212.05,33.2,1.31,52.46,3.94,27.02,4.65,41.17,3415,52659.431,pequenoI
Medina,Jequitinhonha,690.21,18.44,1.62,31.31,11.76,36.64,2.41,31.4,20923,119038.32800000001,pequenoII
Mendes Pimentel,Vale do Rio Doce,695.85,26.49,0.99,36.85,8.91,33.47,5.36,37.56,6318,36865.365,pequenoI
Mercês,Zona da Mata,917.27,22.83,1.76,31.55,10.55,36.37,8.11,36.33,10313,59877.928,pequenoI
Mesquita,Vale do Rio Doce,600.59,17.57,0.37,36.78,5.49,29.41,6.26,44.99,6069,26545.562,pequenoI
Minas Novas,Jequitinhonha,537.49,12.53,0.68,39.81,8.47,31.24,6.74,43.8,30613,137669.959,pequenoII
Minduri,Sul/Sudoeste de Minas,629.1,14.16,0.54,25.42,5.78,46.95,7.75,44.12,3825,35677.941,pequenoI
Mirabela,Norte de Minas,522.47,20.74,0.79,38.32,13.83,32.22,3.92,32.12,13017,58022.865999999995,pequenoI
Miradouro,Zona da Mata,649.17,27.02,1.55,44.16,12.02,28.98,4.83,48.39,10180,90586.186,pequenoI
Miraí,Zona da Mata,874.84,16.95,1.76,16.54,17.72,33.68,16.15,54.78,13704,132578.77599999998,pequenoI
Miravânia,Norte de Minas,392.56,18.7,0.9,46.33,4.75,34.6,5.67,30.98,4501,36186.965,pequenoI
Moeda,Metropolitana de Belo Horizonte,746.17,18.02,2.16,20.09,9.89,41.35,5.1,52.94,4667,30637.732999999997,pequenoI
Moema,Central Mineira,922.89,20.84,4.88,20.94,27.15,29.13,14.59,36.86,6975,45122.871,pequenoI
Monjolos,Central Mineira,670.74,17.92,0.0,41.49,4.44,43.1,3.3,49.92,2342,18425.363999999998,pequenoI
Monsenhor Paulo,Sul/Sudoeste de Minas,854.92,16.61,1.45,40.17,6.84,22.52,23.22,56.14,8124,115169.15199999999,pequenoI
Montalvânia,Norte de Minas,578.36,20.5,0.85,35.0,12.67,34.7,4.43,29.9,15814,80863.974,pequenoI
Monte Alegre de Minas,Triângulo Mineiro/Alto Paranaíba,1031.73,27.8,1.24,39.38,12.32,32.95,4.17,49.31,19367,265413.506,pequenoI
Monte Azul,Norte de Minas,520.51,31.47,1.23,41.04,12.71,31.74,4.88,23.28,21857,99934.007,pequenoII
Monte Belo,Sul/Sudoeste de Minas,737.64,25.89,1.3,56.3,7.1,21.7,6.39,40.02,12789,149192.991,pequenoI
Monte Carmelo,Triângulo Mineiro/Alto Paranaíba,1151.25,19.83,2.05,20.18,15.74,33.22,15.75,60.34,45533,743439.99,pequenoII
Monte Formoso,Jequitinhonha,346.88,8.04,0.14,49.92,7.52,26.12,1.44,25.48,4651,17007.953,pequenoI
Monte Santo de Minas,Sul/Sudoeste de Minas,871.67,23.79,3.1,39.45,10.8,31.42,9.35,59.08,21078,223710.39899999998,pequenoII
Montes Claros,Norte de Minas,1101.09,20.55,2.71,5.6,20.82,50.88,9.53,59.42,359278,4843675.092,medioII
Monte Sião,Sul/Sudoeste de Minas,1008.64,35.34,3.87,15.21,11.31,20.75,39.56,46.08,21033,237578.02300000002,pequenoII
Montezuma,Norte de Minas,422.52,24.27,0.25,59.14,6.81,22.83,5.97,35.43,7448,30837.18,pequenoI
Morada Nova de Minas,Central Mineira,799.43,23.17,1.62,34.94,8.66,41.08,3.61,50.13,8185,93114.246,pequenoI
Morro da Garça,Central Mineira,706.37,8.71,0.64,52.24,2.26,33.57,3.49,55.8,2655,37122.109,pequenoI
Morro do Pilar,Metropolitana de Belo Horizonte,627.84,23.71,0.0,34.52,7.83,39.0,5.86,34.68,3392,54879.834,pequenoI
Munhoz,Sul/Sudoeste de Minas,647.0,25.51,0.39,48.24,6.31,26.84,3.68,25.68,6227,34382.587,pequenoI
Muriaé,Zona da Mata,1087.99,19.4,2.44,6.84,17.52,42.25,18.25,65.91,99937,1218094.945,medioI
Mutum,Vale do Rio Doce,608.97,28.02,0.7,51.49,7.7,27.04,6.65,28.02,26563,180737.97699999998,pequenoII
Muzambinho,Sul/Sudoeste de Minas,1071.23,35.76,2.25,34.78,14.47,32.5,5.5,45.46,20324,224214.974,pequenoII
Nacip Raydan,Vale do Rio Doce,820.96,12.85,0.89,43.66,7.59,31.65,3.19,19.51,3122,16517.54,pequenoI
Nanuque,Vale do Mucuri,932.55,19.58,2.62,14.31,19.46,40.28,13.54,57.97,40582,525635.26,pequenoII
Naque,Vale do Rio Doce,771.4,12.59,0.85,20.89,11.11,41.94,5.83,66.53,6341,32676.879,pequenoI
Natalândia,Noroeste de Minas,700.92,18.41,1.92,37.02,6.36,35.16,3.87,50.73,3259,21541.28,pequenoI
Natércia,Sul/Sudoeste de Minas,716.49,41.92,0.62,49.35,7.15,25.85,7.76,38.99,4620,40890.121,pequenoI
