nome_mun,nome_meso,renocup,cpr,emp,p_agro,p_com,p_serv,p_transf,p_formal,popul,pib,porte
Nazareno,Campo das Vertentes,798.58,19.86,0.78,31.93,9.61,28.65,6.43,57.32,7950,101930.679,pequenoI
Nepomuceno,Campo das Vertentes,724.4,18.81,1.37,46.59,10.38,27.76,7.11,54.1,25505,227754.74800000002,pequenoII
Ninheira,Norte de Minas,361.19,16.32,0.46,48.79,6.88,27.45,1.93,23.89,9815,39812.545,pequenoI
Nova Belém,Vale do Rio Doce,423.44,26.96,0.52,57.28,2.29,27.4,1.62,21.06,3723,23622.912,pequenoI
Nova Era,Metropolitana de Belo Horizonte,875.71,13.62,1.91,6.33,17.51,44.06,7.48,69.25,17450,273507.32300000003,pequenoI
Nova Lima,Metropolitana de Belo Horizonte,2437.34,15.71,3.58,1.13,12.13,54.49,8.67,76.15,80327,5382563.8,medioI
Nova Módica,Vale do Rio Doce,647.25,15.96,0.15,40.1,6.69,40.83,1.19,28.48,3783,22223.673,pequenoI
Nova Ponte,Triângulo Mineiro/Alto Paranaíba,1448.39,17.5,1.61,29.01,10.99,32.54,16.37,70.21,12760,617921.787,pequenoI
Nova Porteirinha,Norte de Minas,479.17,19.46,0.71,47.38,12.8,26.11,5.9,37.24,7362,48912.776,pequenoI
Nova Resende,Sul/Sudoeste de Minas,852.0,38.62,1.09,69.55,7.28,16.68,4.0,30.97,15262,173609.201,pequenoI
Nova Serrana,Oeste de Minas,975.87,13.04,3.45,1.99,9.77,16.41,65.11,66.72,73372,1010516.157,medioI
Novo Cruzeiro,Jequitinhonha,424.41,23.94,0.52,54.68,6.34,23.16,3.18,26.15,30589,112678.46800000001,pequenoII
Novo Oriente de Minas,Vale do Mucuri,439.29,14.0,0.0,44.26,8.72,29.03,6.1,28.82,10243,41443.43,pequenoI
Novorizonte,Norte de Minas,443.3,23.43,0.28,49.64,6.32,25.34,5.96,33.42,4951,22906.654,pequenoI
Olaria,Zona da Mata,661.09,25.04,0.0,43.49,6.65,34.45,3.58,53.52,1970,12836.913999999999,pequenoI
Olhos-d'Água,Norte de Minas,523.64,30.73,0.28,51.3,4.82,27.98,1.87,50.12,5261,47183.614,pequenoI
Olímpio Noronha,Sul/Sudoeste de Minas,726.16,11.39,1.34,46.56,6.96,33.4,6.65,64.65,2530,20328.499,pequenoI
Oliveira,Oeste de Minas,874.45,16.89,1.81,17.15,14.55,37.47,16.65,64.45,39286,434492.289,pequenoII
Oliveira Fortes,Zona da Mata,569.98,15.89,1.04,38.28,6.7,31.19,7.69,43.54,2095,15788.851999999999,pequenoI
Onça de Pitangui,Metropolitana de Belo Horizonte,735.75,21.15,0.69,47.07,6.61,28.95,9.65,49.92,3055,27078.236,pequenoI
Oratórios,Zona da Mata,674.88,16.64,0.42,35.75,11.87,30.34,12.55,67.98,4493,27555.776,pequenoI
Orizânia,Zona da Mata,407.22,26.39,0.34,68.21,5.79,18.06,1.16,20.5,7281,33491.032999999996,pequenoI
Ouro Branco,Metropolitana de Belo Horizonte,1440.44,17.84,1.77,3.9,11.54,43.93,20.25,74.78,35143,2047668.344,pequenoII
Ouro Fino,Sul/Sudoeste de Minas,880.63,27.91,2.4,26.79,14.57,28.66,21.4,55.8,31352,398544.22799999994,pequenoII
Ouro Preto,Metropolitana de Belo Horizonte,1105.88,19.9,1.36,6.53,13.14,49.65,7.46,66.94,69836,3713842.1569999997,medioI
Ouro Verde de Minas,Vale do Mucuri,590.04,38.7,0.74,40.66,12.33,31.88,2.56,29.44,5990,27353.709,pequenoI
Padre Carvalho,Norte de Minas,463.22,12.92,0.3,51.71,5.29,21.31,5.47,55.99,5828,28615.541,pequenoI
Padre Paraíso,Jequitinhonha,479.35,27.0,1.08,32.61,14.83,32.8,2.83,25.43,18791,94995.9,pequenoI
Paineiras,Central Mineira,835.04,27.45,2.32,39.07,11.68,35.12,4.49,40.12,4597,37241.431000000004,pequenoI
Pains,Oeste de Minas,1044.92,21.52,2.02,17.82,8.95,33.77,18.79,60.15,7945,162196.139,pequenoI
Pai Pedro,Norte de Minas,353.54,17.48,0.36,51.62,2.92,33.44,2.97,33.95,5902,25568.743,pequenoI
Paiva,Zona da Mata,601.27,15.95,0.36,35.91,6.59,33.71,2.24,43.37,1553,11879.726,pequenoI
Palma,Zona da Mata,680.96,20.35,1.96,35.64,10.04,41.35,4.41,45.08,6527,38381.087,pequenoI
Palmópolis,Jequitinhonha,306.24,23.17,0.08,50.74,5.13,26.87,2.24,19.49,6915,25198.847999999998,pequenoI
Papagaios,Metropolitana de Belo Horizonte,838.45,17.17,3.55,13.83,16.74,32.39,16.29,51.42,14082,160378.643,pequenoI
Paracatu,Noroeste de Minas,1125.93,18.09,2.06,18.72,15.74,38.89,6.68,63.08,84327,1701105.3369999998,medioI
Pará de Minas,Metropolitana de Belo Horizonte,1046.87,17.41,1.46,8.08,16.32,38.79,20.43,73.58,83588,1577111.323,medioI
Paraguaçu,Sul/Sudoeste de Minas,866.83,21.19,1.67,31.86,11.83,29.4,21.09,61.82,20104,266338.703,pequenoII
Paraisópolis,Sul/Sudoeste de Minas,919.14,17.84,2.22,13.31,13.45,32.09,26.42,63.39,19290,309859.293,pequenoI
Paraopeba,Metropolitana de Belo Horizonte,797.55,21.23,0.79,17.19,17.56,36.43,14.32,60.42,22494,289500.459,pequenoII
Passabém,Metropolitana de Belo Horizonte,496.36,8.46,0.16,33.57,6.65,47.01,1.99,37.17,1755,10529.344,pequenoI
Passa Quatro,Sul/Sudoeste de Minas,858.09,21.14,2.76,16.72,10.01,39.62,18.16,61.66,15471,214361.737,pequenoI
Passa Tempo,Oeste de Minas,826.12,24.02,1.12,24.93,13.21,33.39,10.01,48.12,8144,94413.1,pequenoI
Passa-Vinte,Sul/Sudoeste de Minas,644.9,20.08,1.78,49.25,6.46,33.77,1.77,45.14,2068,13601.77,pequenoI
Passos,Sul/Sudoeste de Minas,1248.65,18.9,2.2,8.88,16.96,41.37,14.92,69.54,105700,1408579.1530000002,medioII
Patis,Norte de Minas,482.87,22.1,0.0,36.55,7.72,35.69,3.78,35.31,5566,24213.475,pequenoI
Patos de Minas,Triângulo Mineiro/Alto Paranaíba,1288.18,20.51,3.91,12.47,18.13,46.48,10.41,68.09,138003,1996955.158,medioII
Patrocínio,Triângulo Mineiro/Alto Paranaíba,1157.47,20.32,2.7,27.11,15.68,37.41,7.9,62.56,81685,1282274.787,medioI
Patrocínio do Muriaé,Zona da Mata,733.52,27.66,0.26,23.83,7.68,32.53,22.94,51.57,5277,40174.878,pequenoI
Paula Cândido,Zona da Mata,593.44,17.51,1.58,46.95,7.11,25.46,11.46,48.26,9230,47333.723,pequenoI
Paulistas,Vale do Rio Doce,465.61,15.26,0.56,50.27,6.23,30.05,3.07,22.35,4885,24756.506,pequenoI
Pavão,Vale do Mucuri,611.84,15.98,0.92,42.09,10.75,27.52,1.9,35.48,8494,42179.070999999996,pequenoI
Peçanha,Vale do Rio Doce,632.78,20.3,3.02,48.6,10.76,29.91,1.99,30.4,17146,101351.66699999999,pequenoI
Pedra Azul,Jequitinhonha,690.73,15.71,0.41,20.84,17.37,41.38,4.32,37.21,23746,136505.103,pequenoII
Pedra Bonita,Zona da Mata,356.88,35.54,0.37,79.35,2.11,15.23,0.0,12.44,6671,39328.31,pequenoI
Pedra do Anta,Zona da Mata,426.57,19.69,0.58,51.54,9.02,29.71,3.15,27.75,3362,15844.177,pequenoI
Pedra do Indaiá,Oeste de Minas,791.8,29.81,1.51,42.32,6.48,21.84,20.5,46.43,3864,53968.425,pequenoI
Pedra Dourada,Zona da Mata,658.78,15.37,0.63,53.44,3.79,30.09,5.86,23.62,2182,19493.421000000002,pequenoI
Pedralva,Sul/Sudoeste de Minas,921.96,33.45,1.62,43.86,9.52,29.05,7.49,42.37,11386,76793.942,pequenoI
Pedras de Maria da Cruz,Norte de Minas,444.95,23.16,0.0,49.88,9.13,26.25,1.97,36.13,10276,40951.778,pequenoI
Pedrinópolis,Triângulo Mineiro/Alto Paranaíba,1088.31,23.58,1.7,39.85,8.66,35.42,4.45,51.9,3478,54034.575999999994,pequenoI
Pedro Leopoldo,Metropolitana de Belo Horizonte,1145.86,18.32,1.8,3.71,11.92,44.73,18.03,72.64,58479,1134938.418,medioI
Pedro Teixeira,Zona da Mata,553.63,31.53,0.0,46.06,4.15,32.16,3.35,48.48,1785,11927.048,pequenoI
Pequeri,Zona da Mata,786.65,19.43,1.0,11.27,4.65,39.5,27.36,67.96,3121,24088.887000000002,pequenoI
Pequi,Metropolitana de Belo Horizonte,758.09,17.05,0.81,37.27,8.22,37.83,6.9,46.85,4070,30897.985,pequenoI
Perdigão,Oeste de Minas,981.71,19.8,4.57,8.27,10.82,22.3,37.83,62.57,8862,75570.338,pequenoI
Perdizes,Triângulo Mineiro/Alto Paranaíba,1281.65,18.95,2.0,49.16,8.33,28.1,5.45,62.58,14276,324857.502,pequenoI
Perdões,Oeste de Minas,1137.87,24.48,1.05,21.32,15.74,40.18,9.58,62.51,20034,275999.099,pequenoII
Periquito,Vale do Rio Doce,626.1,10.55,0.37,30.02,7.02,34.46,5.97,58.79,7023,47411.965,pequenoI
Pescador,Vale do Rio Doce,789.51,17.72,1.87,33.52,7.44,38.41,4.83,31.22,4044,24065.15,pequenoI
Piau,Zona da Mata,681.68,33.2,0.99,44.22,6.26,30.78,1.98,40.91,2837,28534.907000000003,pequenoI
Piedade de Caratinga,Vale do Rio Doce,623.99,31.64,1.01,61.01,11.24,16.86,2.19,37.92,7096,44215.657,pequenoI
Piedade de Ponte Nova,Zona da Mata,649.51,14.21,0.52,32.26,7.48,31.98,3.8,71.89,4025,25945.144,pequenoI
Piedade do Rio Grande,Campo das Vertentes,539.31,20.31,0.95,48.5,8.9,29.13,3.74,39.18,4703,114650.02,pequenoI
Piedade dos Gerais,Metropolitana de Belo Horizonte,608.04,36.39,0.56,59.47,6.6,22.79,1.61,26.34,4601,27072.182999999997,pequenoI
Pimenta,Oeste de Minas,927.52,29.62,2.25,42.01,11.3,34.84,3.99,46.35,8231,83991.175,pequenoI
Pingo-d'Água,Vale do Rio Doce,614.59,16.85,0.61,42.23,11.72,30.58,4.36,56.57,4410,24885.905,pequenoI
Pintópolis,Norte de Minas,445.71,27.07,0.0,49.02,7.87,23.87,2.74,31.42,7170,32124.966,pequenoI
Piracema,Oeste de Minas,664.6,25.02,0.72,45.58,6.89,30.46,6.11,44.43,6355,50031.29,pequenoI
Pirajuba,Triângulo Mineiro/Alto Paranaíba,1389.48,20.28,0.16,18.48,4.44,32.69,14.58,69.09,4614,129898.47,pequenoI
Piranga,Zona da Mata,485.27,20.29,0.24,45.46,8.78,27.32,3.5,31.23,17161,79011.004,pequenoI
Piranguçu,Sul/Sudoeste de Minas,759.24,26.74,1.17,30.21,11.14,31.65,10.68,45.02,5180,32940.152,pequenoI
Piranguinho,Sul/Sudoeste de Minas,833.35,21.48,1.98,22.48,14.35,32.73,14.34,62.28,7993,48859.657,pequenoI
Pirapetinga,Zona da Mata,896.56,19.4,1.74,10.04,12.41,40.23,15.5,59.05,10351,359657.70700000005,pequenoI
Pirapora,Norte de Minas,987.18,17.72,1.12,10.98,17.03,42.66,16.52,64.89,52808,1151269.3159999999,medioI
Piraúba,Zona da Mata,744.43,24.53,1.42,15.13,13.57,28.6,26.66,60.25,10807,73163.37700000001,pequenoI
Pitangui,Metropolitana de Belo Horizonte,1056.32,16.69,1.95,12.66,13.91,36.58,19.75,63.24,25148,251391.425,pequenoII
Piumhi,Oeste de Minas,1136.57,27.18,2.67,23.74,20.85,36.27,7.19,58.47,31456,479654.95,pequenoII
Planura,Triângulo Mineiro/Alto Paranaíba,1095.99,14.92,1.3,24.26,9.93,35.38,20.43,67.54,10300,306877.715,pequenoI
Poço Fundo,Sul/Sudoeste de Minas,935.47,40.7,3.13,52.78,9.14,22.93,9.28,32.41,15889,149884.89800000002,pequenoI
Poços de Caldas,Sul/Sudoeste de Minas,1364.19,21.33,2.53,4.61,15.73,46.85,13.26,74.05,151812,3742080.545,medioII
Pocrane,Vale do Rio Doce,515.74,28.21,0.77,48.58,6.35,30.89,2.77,21.9,8959,44353.587,pequenoI
Pompéu,Central Mineira,1063.64,16.71,1.92,19.43,14.06,37.35,12.6,54.02,28857,350722.715,pequenoII
Ponte Nova,Zona da Mata,1064.35,19.18,2.73,7.97,21.77,45.66,9.93,72.57,56530,781595.725,medioI
Ponto Chique,Norte de Minas,434.04,24.13,0.53,41.04,8.19,37.78,3.18,28.6,3948,22261.816000000003,pequenoI
Ponto dos Volantes,Jequitinhonha,388.89,19.15,0.35,55.51,6.35,25.19,1.58,21.94,11345,56680.005,pequenoI
Porteirinha,Norte de Minas,493.26,19.52,1.66,44.48,11.89,29.53,4.29,27.22,37390,170999.802,pequenoII
Porto Firme,Zona da Mata,502.62,15.81,0.17,46.9,10.38,27.81,4.07,36.88,10400,56233.721,pequenoI
Poté,Vale do Mucuri,431.79,25.3,0.72,48.21,8.02,26.91,3.95,23.25,15607,76264.11,pequenoI
Pouso Alegre,Sul/Sudoeste de Minas,1320.38,21.91,3.02,7.12,17.74,41.44,17.91,72.63,129577,3123047.458,medioII
Pouso Alto,Sul/Sudoeste de Minas,1252.19,24.48,2.38,31.77,10.36,30.76,14.72,50.55,6141,70542.091,pequenoI
Prados,Campo das Vertentes,750.18,26.47,1.48,21.59,9.68,27.58,28.42,57.4,8330,61829.135,pequenoI
Prata,Triângulo Mineiro/Alto Paranaíba,1243.08,20.69,1.95,31.59,13.4,29.46,6.52,58.31,25304,541173.3979999999,pequenoII
Pratápolis,Sul/Sudoeste de Minas,914.3,17.3,1.78,23.65,9.3,38.2,10.16,58.13,8766,103948.53199999999,pequenoI
Pratinha,Triângulo Mineiro/Alto Paranaíba,948.84,35.91,0.42,59.23,3.12,21.07,5.27,38.55,3261,45657.992,pequenoI
Presidente Bernardes,Zona da Mata,439.56,23.93,1.01,53.99,6.73,29.05,2.36,36.79,5518,23329.514,pequenoI
Presidente Juscelino,Central Mineira,514.68,13.46,0.78,51.52,4.21,28.64,1.84,35.48,3908,25302.185,pequenoI
Presidente Kubitschek,Jequitinhonha,530.23,15.79,0.57,24.63,7.95,42.85,4.17,56.41,2954,14530.068000000001,pequenoI
Presidente Olegário,Noroeste de Minas,867.04,20.23,1.37,51.41,8.57,27.7,4.06,54.88,18439,224162.80399999997,pequenoI
Alto Jequitibá,Zona da Mata,660.73,29.8,2.14,60.35,7.65,23.6,2.87,37.3,8263,83174.969,pequenoI
Prudente de Morais,Metropolitana de Belo Horizonte,817.09,13.98,0.64,6.7,12.1,38.85,19.95,69.43,9573,69359.94,pequenoI
Quartel Geral,Central Mineira,797.57,14.88,1.04,30.36,6.86,36.98,7.73,60.99,3289,32294.647999999997,pequenoI
Queluzito,Metropolitana de Belo Horizonte,849.23,34.84,1.01,34.16,8.75,36.77,1.88,48.63,1861,15313.101999999999,pequenoI
Raposos,Metropolitana de Belo Horizonte,875.54,13.48,0.36,1.11,15.46,51.25,6.3,76.85,15342,65423.043,pequenoI
Raul Soares,Zona da Mata,668.53,25.56,1.54,40.26,9.16,32.15,5.72,33.77,23683,152035.196,pequenoII
Recreio,Zona da Mata,846.9,24.39,1.46,14.19,16.34,43.07,7.72,56.94,10272,55992.585,pequenoI
Reduto,Zona da Mata,767.18,17.59,1.33,51.94,8.65,24.95,4.81,37.79,6563,47484.185,pequenoI
Resende Costa,Campo das Vertentes,714.65,33.77,1.31,21.41,16.32,24.74,24.07,40.65,10822,70659.452,pequenoI
Resplendor,Vale do Rio Doce,867.47,25.79,1.3,28.67,14.81,36.16,5.44,48.16,16881,168439.19600000003,pequenoI
Ressaquinha,Campo das Vertentes,657.98,30.82,1.27,45.5,9.33,30.66,4.01,46.43,4671,83971.269,pequenoI
Riachinho,Norte de Minas,512.91,24.65,0.15,42.23,10.52,33.21,4.13,26.39,7928,48241.418,pequenoI
Riacho dos Machados,Norte de Minas,417.68,13.13,1.11,49.54,8.48,25.74,2.8,35.31,9339,33829.531,pequenoI
Ribeirão das Neves,Metropolitana de Belo Horizonte,820.32,16.85,0.51,1.24,17.26,49.07,9.52,71.88,291880,1733698.8059999999,medioII
Ribeirão Vermelho,Campo das Vertentes,802.21,14.85,1.87,10.86,17.37,38.53,18.14,69.31,3810,53483.223,pequenoI
Rio Acima,Metropolitana de Belo Horizonte,938.01,11.9,1.11,9.11,11.14,51.22,5.85,63.26,9090,162995.52,pequenoI
Rio Casca,Zona da Mata,805.17,14.76,1.77,19.96,13.77,47.22,6.5,64.55,14046,134045.314,pequenoI
Rio Doce,Zona da Mata,644.09,17.17,1.33,26.55,8.19,41.61,3.01,46.7,2453,16434.38,pequenoI
Rio do Prado,Jequitinhonha,483.65,22.42,0.83,49.25,7.94,33.09,3.78,38.96,5179,25885.741,pequenoI
Rio Espera,Zona da Mata,354.96,24.26,0.0,60.84,4.24,22.9,2.55,21.66,6041,24181.585,pequenoI
Rio Manso,Metropolitana de Belo Horizonte,726.71,33.92,0.96,47.3,7.96,28.0,7.54,38.28,5255,44726.614,pequenoI
Rio Novo,Zona da Mata,812.19,21.83,1.77,15.67,14.19,41.13,11.45,58.59,8655,57445.602,pequenoI
Rio Paranaíba,Triângulo Mineiro/Alto Paranaíba,1193.31,26.3,1.5,46.97,8.31,26.29,6.5,49.98,11759,278907.86199999996,pequenoI
Rio Pardo de Minas,Norte de Minas,470.75,30.87,0.88,52.19,7.7,20.99,13.28,30.96,29033,143132.149,pequenoII
Rio Piracicaba,Metropolitana de Belo Horizonte,833.75,17.9,2.15,23.19,9.66,34.0,5.82,56.95,14097,432579.653,pequenoI
Rio Pomba,Zona da Mata,854.98,22.78,3.48,13.51,16.89,38.6,15.36,60.04,16978,142003.286,pequenoI
Rio Preto,Zona da Mata,790.22,21.77,0.53,22.86,12.84,45.71,3.7,48.63,5243,34731.111000000004,pequenoI
Rio Vermelho,Metropolitana de Belo Horizonte,444.5,23.37,1.06,56.2,6.91,27.91,1.64,22.41,13548,60398.708,pequenoI
Ritápolis,Campo das Vertentes,743.7,20.7,0.35,28.71,8.05,35.13,5.53,53.3,4925,30439.077999999998,pequenoI
Rochedo de Minas,Zona da Mata,696.81,23.4,2.79,20.04,5.79,31.86,34.29,46.33,2116,13591.348999999998,pequenoI
Rodeiro,Zona da Mata,999.66,16.23,2.35,8.17,10.78,27.44,39.58,75.96,6820,248518.55800000002,pequenoI
Romaria,Triângulo Mineiro/Alto Paranaíba,1216.76,19.35,0.0,40.87,15.86,23.67,11.95,63.03,3573,83561.545,pequenoI
Rosário da Limeira,Zona da Mata,667.98,23.63,2.11,37.48,8.53,29.8,9.03,45.62,4230,27969.496,pequenoI
Rubelita,Norte de Minas,404.91,23.24,0.0,56.48,3.31,29.66,2.55,32.49,7767,31290.924,pequenoI
Rubim,Jequitinhonha,452.18,23.5,0.74,40.67,13.11,31.71,2.89,28.3,9885,46334.795999999995,pequenoI
Sabará,Metropolitana de Belo Horizonte,999.71,16.83,0.79,1.65,14.87,52.49,9.85,75.36,125980,1356782.37,medioII
Sabinópolis,Vale do Rio Doce,591.78,17.27,1.19,43.46,9.92,32.56,3.65,32.77,15555,95947.546,pequenoI
Sacramento,Triângulo Mineiro/Alto Paranaíba,1034.49,19.92,2.81,25.12,11.75,31.63,16.03,62.31,23718,567953.637,pequenoII
Salinas,Norte de Minas,714.95,21.22,1.36,25.96,14.78,37.9,8.61,44.04,38926,299272.278,pequenoII
Salto da Divisa,Jequitinhonha,686.13,19.69,0.54,23.89,14.94,38.62,2.36,37.38,6850,45935.148,pequenoI
Santa Bárbara,Metropolitana de Belo Horizonte,894.19,16.82,0.87,14.49,12.51,40.65,4.62,65.29,27796,253836.052,pequenoII
Santa Bárbara do Leste,Vale do Rio Doce,525.18,27.89,2.4,59.96,10.56,18.69,6.24,22.54,7663,37368.703,pequenoI
Santa Bárbara do Monte Verde,Zona da Mata,661.8,21.41,0.0,42.91,3.52,36.17,1.95,57.41,2776,21721.145,pequenoI
Santa Bárbara do Tugúrio,Campo das Vertentes,536.04,34.17,8.71,42.03,8.21,31.64,3.36,42.97,4570,28317.762000000002,pequenoI
Santa Cruz de Minas,Campo das Vertentes,811.84,24.28,3.2,1.42,23.17,38.69,20.82,60.92,7861,43274.837999999996,pequenoI
Santa Cruz de Salinas,Norte de Minas,242.47,12.05,0.0,68.64,2.72,20.39,1.2,20.66,4385,22490.04,pequenoI
Santa Cruz do Escalvado,Zona da Mata,525.14,17.9,1.22,55.2,7.45,25.93,2.2,39.11,4992,29204.741,pequenoI
Santa Efigênia de Minas,Vale do Rio Doce,511.86,22.53,0.39,27.83,11.61,36.1,4.35,32.4,4587,27492.372000000003,pequenoI
Santa Fé de Minas,Norte de Minas,554.79,17.37,0.52,45.12,7.69,35.33,1.67,30.71,3939,22377.922000000002,pequenoI
Santa Helena de Minas,Vale do Mucuri,370.1,26.46,0.16,47.94,6.95,32.33,3.21,29.9,6049,23218.11,pequenoI
Santa Juliana,Triângulo Mineiro/Alto Paranaíba,1240.43,21.23,0.97,32.5,10.68,33.17,13.5,62.18,11287,253145.387,pequenoI
Santa Luzia,Metropolitana de Belo Horizonte,926.81,15.46,0.59,1.42,15.4,51.6,11.94,72.1,202170,2230851.676,medioII
Santa Margarida,Zona da Mata,779.82,27.47,0.9,62.81,6.96,23.43,0.85,21.19,15001,154801.216,pequenoI
Santa Maria de Itabira,Metropolitana de Belo Horizonte,668.43,12.05,0.67,24.17,12.18,37.04,5.19,66.27,10498,101230.23599999999,pequenoI
Santa Maria do Salto,Jequitinhonha,435.53,18.66,1.97,48.07,11.5,28.73,3.84,30.25,5274,23418.676,pequenoI
Santa Maria do Suaçuí,Vale do Rio Doce,675.17,27.01,2.36,38.75,13.42,33.82,4.11,26.62,13936,69730.302,pequenoI
Santana da Vargem,Sul/Sudoeste de Minas,813.53,14.9,1.45,49.45,10.15,27.35,6.93,68.72,7231,89511.39,pequenoI
Santana de Cataguases,Zona da Mata,668.71,29.59,0.75,26.57,9.62,39.04,14.07,44.38,3622,20580.953,pequenoI
Santana de Pirapama,Metropolitana de Belo Horizonte,554.37,35.74,0.33,57.58,9.14,25.55,4.1,25.25,7940,58128.1,pequenoI
Santana do Deserto,Zona da Mata,783.65,21.0,0.77,20.61,7.71,30.08,16.28,72.98,3849,20386.615,pequenoI
Santana do Garambéu,Campo das Vertentes,787.62,25.34,1.39,51.05,5.09,28.9,3.22,45.16,2226,14406.796999999999,pequenoI
Santana do Jacaré,Oeste de Minas,681.42,9.6,0.81,45.99,10.2,26.08,11.93,45.69,4556,38551.137,pequenoI
